"GO_Term","Function_Name"
"GO:0016743","carboxyl- or carbamoyltransferase activity"
"GO:0006520","amino acid metabolic process"
"GO:0006508","proteolysis"
"GO:0004252","serine-type endopeptidase activity"
"GO:0005789","endoplasmic reticulum membrane"
"GO:0005789","endoplasmic reticulum membrane"
"GO:0055114","obsolete oxidation-reduction process"
"GO:0020037","heme binding"
"GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"
"GO:0005506","iron ion binding"
"GO:0003824","catalytic activity"
"GO:0042545","cell wall modification"
"GO:0030599","pectinesterase activity"
"GO:0005618","cell wall"
"GO:0016021",NA
"GO:0006886","intracellular protein transport"
"GO:0005783","endoplasmic reticulum"
"GO:0006351","DNA-templated transcription"
"GO:0003899","DNA-directed 5'-3' RNA polymerase activity"
"GO:0003677","DNA binding"
"GO:0008889","glycerophosphodiester phosphodiesterase activity"
"GO:0043565","sequence-specific DNA binding"
"GO:0030150","protein import into mitochondrial matrix"
"GO:0005742","mitochondrial outer membrane translocase complex"
"GO:0003824","catalytic activity"
"GO:0055085","transmembrane transport"
"GO:0016021",NA
"GO:0008324","monoatomic cation transmembrane transporter activity"
"GO:0006812","monoatomic cation transport"
"GO:0005515","protein binding"
"GO:0016773","phosphotransferase activity, alcohol group as acceptor"
"GO:0006468","protein phosphorylation"
"GO:0004672","protein kinase activity"
"GO:0043565","sequence-specific DNA binding"
"GO:0006355","regulation of DNA-templated transcription"
"GO:0003700","DNA-binding transcription factor activity"
"GO:0005975","carbohydrate metabolic process"
"GO:0004553","hydrolase activity, hydrolyzing O-glycosyl compounds"
"GO:0016746","acyltransferase activity"
"GO:0008152","metabolic process"
"GO:0016746","acyltransferase activity"
"GO:0008152","metabolic process"
"GO:0016020","membrane"
"GO:0006886","intracellular protein transport"
"GO:0005801","cis-Golgi network"
"GO:0006508","proteolysis"
"GO:0004190","aspartic-type endopeptidase activity"
"GO:0008173","RNA methyltransferase activity"
"GO:0006364","rRNA processing"
"GO:0005737","cytoplasm"
"GO:0006412","translation"
"GO:0003735","structural constituent of ribosome"
"GO:0003950","NAD+ poly-ADP-ribosyltransferase activity"
"GO:0000160","phosphorelay signal transduction system"
"GO:0016567","protein ubiquitination"
"GO:0004842","ubiquitin-protein transferase activity"
"GO:0000160","phosphorelay signal transduction system"
"GO:0006468","protein phosphorylation"
"GO:0005524","ATP binding"
"GO:0004672","protein kinase activity"
"GO:0005516","calmodulin binding"
"GO:0055114","obsolete oxidation-reduction process"
"GO:0016491","oxidoreductase activity"
"GO:0008270","zinc ion binding"
"GO:0006508","proteolysis"
"GO:0004185","serine-type carboxypeptidase activity"
"GO:0006950","response to stress"
"GO:0055085","transmembrane transport"
"GO:0016021",NA
"GO:0015299","obsolete solute:proton antiporter activity"
"GO:0006812","monoatomic cation transport"
"GO:0006412","translation"
"GO:0005840","ribosome"
"GO:0003735","structural constituent of ribosome"
"GO:0030983","mismatched DNA binding"
"GO:0006298","mismatch repair"
"GO:0005524","ATP binding"
"GO:0006468","protein phosphorylation"
"GO:0005524","ATP binding"
"GO:0004672","protein kinase activity"
"GO:0006355","regulation of DNA-templated transcription"
"GO:0003677","DNA binding"
"GO:0016788","hydrolase activity, acting on ester bonds"
"GO:0016192","vesicle-mediated transport"
"GO:0016021",NA
"GO:0009349","riboflavin synthase complex"
"GO:0009231","riboflavin biosynthetic process"
"GO:0006457","protein folding"
"GO:0016021",NA
"GO:0016021",NA
"GO:0008381","mechanosensitive monoatomic ion channel activity"
"GO:0055114","obsolete oxidation-reduction process"
"GO:0010277","chlorophyllide a oxygenase activity"
"GO:0051537","2 iron, 2 sulfur cluster binding"
"GO:0016491","oxidoreductase activity"
"GO:0055114","obsolete oxidation-reduction process"
"GO:0010277","chlorophyllide a oxygenase activity"
"GO:0051537","2 iron, 2 sulfur cluster binding"
"GO:0016491","oxidoreductase activity"
"GO:0005515","protein binding"
"GO:0016021",NA
"GO:0016829","lyase activity"
"GO:0010333","terpene synthase activity"
"GO:0008152","metabolic process"
"GO:0000287","magnesium ion binding"
"GO:0003723","RNA binding"
"GO:0000178","exosome (RNase complex)"
"GO:0055114","obsolete oxidation-reduction process"
"GO:0020037","heme binding"
"GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"
"GO:0005506","iron ion binding"
"GO:0008168","methyltransferase activity"
"GO:0016853","isomerase activity"
"GO:0005975","carbohydrate metabolic process"
"GO:0055085","transmembrane transport"
"GO:0016021",NA
"GO:0006629","lipid metabolic process"
"GO:0008270","zinc ion binding"
"GO:0005515","protein binding"
"GO:0000724","double-strand break repair via homologous recombination"
"GO:0006281","DNA repair"
"GO:0016887","ATP hydrolysis activity"
"GO:0005524","ATP binding"
"GO:0016747","acyltransferase activity, transferring groups other than amino-acyl groups"
"GO:0003676","nucleic acid binding"
"GO:0055114","obsolete oxidation-reduction process"
"GO:0020037","heme binding"
"GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"
"GO:0005506","iron ion binding"
"GO:0006468","protein phosphorylation"
"GO:0005524","ATP binding"
"GO:0004672","protein kinase activity"
"GO:0016021",NA
"GO:0015689","molybdate ion transport"
"GO:0015098","molybdate ion transmembrane transporter activity"
"GO:0016020","membrane"
"GO:0016887","ATP hydrolysis activity"
"GO:0005524","ATP binding"
"GO:0016887","ATP hydrolysis activity"
"GO:0005524","ATP binding"
"GO:0016020","membrane"
"GO:0042254","ribosome biogenesis"
"GO:0005730","nucleolus"
"GO:0050662","obsolete coenzyme binding"
"GO:0003824","catalytic activity"
"GO:0006383","transcription by RNA polymerase III"
"GO:0005666","RNA polymerase III complex"
"GO:0003899","DNA-directed 5'-3' RNA polymerase activity"
"GO:0003677","DNA binding"
"GO:0006659","phosphatidylserine biosynthetic process"
"GO:0016020","membrane"
"GO:0008378","galactosyltransferase activity"
"GO:0006486","protein glycosylation"
"GO:0016787","hydrolase activity"
"GO:0005975","carbohydrate metabolic process"
"GO:0004553","hydrolase activity, hydrolyzing O-glycosyl compounds"
"GO:0006508","proteolysis"
"GO:0004252","serine-type endopeptidase activity"
"GO:0005089",NA
"GO:0006284","base-excision repair"
"GO:0005737","cytoplasm"
"GO:0000045","autophagosome assembly"
"GO:0006508","proteolysis"
"GO:0004252","serine-type endopeptidase activity"
"GO:0006629","lipid metabolic process"
"GO:0005515","protein binding"
"GO:0006413","translational initiation"
"GO:0003743","translation initiation factor activity"
"GO:0055114","obsolete oxidation-reduction process"
"GO:0051287","NAD binding"
"GO:0048038","quinone binding"
"GO:0016651","oxidoreductase activity, acting on NAD(P)H"
"GO:0055114","obsolete oxidation-reduction process"
"GO:0051287","NAD binding"
"GO:0048038","quinone binding"
"GO:0016651","oxidoreductase activity, acting on NAD(P)H"
"GO:0032502","developmental process"
"GO:0006351","DNA-templated transcription"
